# Año,Mes,tae_españa
2019,ENERO,8.15
2019,FEBRERO,8.10
2019,MARZO,8.03
2019,ABRIL,8.06
2019,MAYO,8.18
2019,JUNIO,7.73
2019,JULIO,8.03
2019,AGOSTO,8.04
2018,ENERO,8.52
2018,FEBRERO,8.41
2018,MARZO,8.30
2018,ABRIL,8.28
2018,MAYO,8.15
2018,JUNIO,7.81
2018,JULIO,8.14
2018,AGOSTO,8.24
2018,SEPTIEMBRE,8.15
2018,OCTUBRE,8.19
2018,NOVIEMBRE,7.77
2018,DICIEMBRE,7.98
2017,ENERO,8.78
2017,FEBRERO,8.91
2017,MARZO,9.01
2017,ABRIL,8.66
2017,MAYO,8.77
2017,JUNIO,8.39
2017,JULIO,8.61
2017,AGOSTO,8.79
2017,SEPTIEMBRE,8.83
2017,OCTUBRE,8.84
2017,NOVIEMBRE,8.11
2017,DICIEMBRE,8.30
2016,ENERO,8.99
2016,FEBRERO,8.66
2016,MARZO,8.51
2016,ABRIL,7.97
2016,MAYO,8.25
2016,JUNIO,8.26
2016,JULIO,8.65
2016,AGOSTO,8.86
2016,SEPTIEMBRE,8.71
2016,OCTUBRE,8.57
2016,NOVIEMBRE,7.92
2016,DICIEMBRE,8.14
2015,ENERO,9.37
2015,FEBRERO,9.58
2015,MARZO,8.95
2015,ABRIL,8.86
2015,MAYO,8.99
2015,JUNIO,8.81
2015,JULIO,9.05
2015,AGOSTO,9.43
2015,SEPTIEMBRE,9.23
2015,OCTUBRE,9.05
2015,NOVIEMBRE,8.66
2015,DICIEMBRE,8.43
2014,ENERO,9.63
2014,FEBRERO,9.98
2014,MARZO,9.62
2014,ABRIL,9.65
2014,MAYO,9.63
2014,JUNIO,9.45
2014,JULIO,9.38
2014,AGOSTO,9.84
2014,SEPTIEMBRE,9.87
2014,OCTUBRE,9.83
2014,NOVIEMBRE,9.77
2014,DICIEMBRE,9.98
2013,ENERO,9.43
2013,FEBRERO,9.57
2013,MARZO,9.57
2013,ABRIL,9.59
2013,MAYO,9.60
2013,JUNIO,9.49
2013,JULIO,9.82
2013,AGOSTO,10.06
2013,SEPTIEMBRE,9.93
2013,OCTUBRE,9.86
2013,NOVIEMBRE,9.76
2013,DICIEMBRE,9.52
2012,ENERO,10.07
2012,FEBRERO,9.77
2012,MARZO,9.37
2012,ABRIL,9.13
2012,MAYO,9.08
2012,JUNIO,8.00
2012,JULIO,8.99
2012,AGOSTO,9.35
2012,SEPTIEMBRE,9.34
2012,OCTUBRE,9.11
2012,NOVIEMBRE,8.95
2012,DICIEMBRE,8.32
2011,ENERO,8.30
2011,FEBRERO,8.55
2011,MARZO,8.49
2011,ABRIL,8.27
2011,MAYO,8.47
2011,JUNIO,7.89
2011,JULIO,8.48
2011,AGOSTO,8.69
2011,SEPTIEMBRE,9.05
2011,OCTUBRE,9.31
2011,NOVIEMBRE,8.74
2011,DICIEMBRE,9.11
2010,ENERO,10.59
2010,FEBRERO,10.22
2010,MARZO,9.60
2010,ABRIL,9.66
2010,MAYO,9.77
2010,JUNIO,7.48
2010,JULIO,7.49
2010,AGOSTO,7.75
2010,SEPTIEMBRE,7.88
2010,OCTUBRE,7.83
2010,NOVIEMBRE,7.77
2010,DICIEMBRE,7.47
2009,ENERO,11.55
2009,FEBRERO,10.80
2009,MARZO,10.25
2009,ABRIL,10.61
2009,MAYO,10.31
2009,JUNIO,10.15
2009,JULIO,10.34
2009,AGOSTO,11.16
2009,SEPTIEMBRE,11.02
2009,OCTUBRE,10.21
2009,NOVIEMBRE,10.17
2009,DICIEMBRE,9.72
2008,ENERO,10.55
2008,FEBRERO,10.48
2008,MARZO,10.48
2008,ABRIL,10.48
2008,MAYO,10.54
2008,JUNIO,10.75
2008,JULIO,10.66
2008,AGOSTO,11.72
2008,SEPTIEMBRE,11.51
2008,OCTUBRE,11.22
2008,NOVIEMBRE,11.35
2008,DICIEMBRE,10.99
2007,ENERO,9.47
2007,FEBRERO,9.38
2007,MARZO,9.36
2007,ABRIL,9.54
2007,MAYO,9.59
2007,JUNIO,9.80
2007,JULIO,9.64
2007,AGOSTO,10.12
2007,SEPTIEMBRE,10.28
2007,OCTUBRE,9.78
2007,NOVIEMBRE,10.15
2007,DICIEMBRE,10.07
